sku,name,category,price,url,description
CAD-CM-VC500,Volt Commuter 500,Commuter E-Bikes,1899.00,http://localhost:8089/electric-bikes/commuter/volt-commuter-500/,"A 500Wh commuter e-bike with a rear hub motor, hydraulic discs and full mudguards."
CAD-CM-VC700,Volt Commuter 700,Commuter E-Bikes,2299.00,http://localhost:8089/electric-bikes/commuter/volt-commuter-700/,"The long-range Volt with a 720Wh pack, a belt drive and an integrated rear light."
CAD-CM-RC7,Ridgeline City 7,Commuter E-Bikes,2149.00,http://localhost:8089/electric-bikes/commuter/ridgeline-city-7/,A belt-driven city e-bike with a seven-speed hub gear and a torque sensor.
CAD-CM-RC5,Ridgeline City 5,Commuter E-Bikes,1749.00,http://localhost:8089/electric-bikes/commuter/ridgeline-city-5/,"The five-speed Ridgeline, lighter and cheaper, for flat-city commuting."
CAD-CM-STEP,Ridgeline Step-Through,Commuter E-Bikes,1949.00,http://localhost:8089/electric-bikes/commuter/ridgeline-step-through/,A low step-over frame with the same torque sensor and 500Wh pack.
CAD-CG-HMAX,Hauler Cargo Max,Cargo E-Bikes,3699.00,http://localhost:8089/electric-bikes/cargo/hauler-cargo-max/,A longtail cargo e-bike rated for 200kg with a mid-drive motor and dual battery bays.
CAD-CG-HMIN,Hauler Cargo Mini,Cargo E-Bikes,2899.00,http://localhost:8089/electric-bikes/cargo/hauler-cargo-mini/,A compact longtail for one child seat and a week of shopping.
CAD-CG-HBOX,Hauler Box Front,Cargo E-Bikes,4499.00,http://localhost:8089/electric-bikes/cargo/hauler-box-front/,A front-loading box bike with a steering rod and a rain canopy.
CAD-CG-SEAT,Hauler Child Seat,Cargo E-Bikes,129.00,http://localhost:8089/electric-bikes/cargo/hauler-child-seat/,A rear child seat that bolts to the Hauler deck rails.
CAD-FD-SF20,Stowaway Fold 20,Folding E-Bikes,1599.00,http://localhost:8089/electric-bikes/folding/stowaway-fold-20/,A 20-inch folding e-bike that folds in under fifteen seconds.
CAD-FD-SF16,Stowaway Fold 16,Folding E-Bikes,1449.00,http://localhost:8089/electric-bikes/folding/stowaway-fold-16/,"The smallest fold in the range, sized for a train luggage rack."
CAD-FD-SFPRO,Stowaway Fold Pro,Folding E-Bikes,2099.00,http://localhost:8089/electric-bikes/folding/stowaway-fold-pro/,A carbon-forked folding e-bike with a 400Wh in-frame battery.
